SRR_ID;Experiment_Name;Condition_Group;Category;Status;CellRanger_Ready
SRR17720186;FETAL_brain_IND1_EC;FETAL_brain;sorted;PENDING;NO
SRR17720184;FETAL_brain_IND2_IND3_EC;FETAL_brain;sorted;PENDING;NO
SRR17720199;FETAL_brain_IND4_EC;FETAL_brain;sorted;PENDING;NO
SRR17720198;FETAL_brain_IND5_EC;FETAL_brain;sorted;PENDING;NO
SRR17720222;FETAL_brain_1_all cells;FETAL_brain;unsorted;PENDING;NO
SRR17720221;FETAL_brain_2_all cells;FETAL_brain;unsorted;PENDING;NO
SRR17720220;FETAL_brain_3_all cells;FETAL_brain;unsorted;PENDING;NO
SRR17720218;FETAL_brain_4_all cells;FETAL_brain;unsorted;PENDING;NO
SRR17720217;FETAL_brain_5_all cells;FETAL_brain;unsorted;PENDING;NO
SRR28072449;FETAL_brain_6_all cells;FETAL_brain;unsorted;PENDING;NO
SRR28072450;FETAL_brain_6_all cells;FETAL_brain;unsorted;PENDING;NO
SRR28072447;FETAL_brain_8_all cells;FETAL_brain;unsorted;PENDING;NO
SRR28072448;FETAL_brain_8_all cells;FETAL_brain;unsorted;PENDING;NO
SRR17720224;FETAL_periphery_IND2_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720200;FETAL_periphery_IND3_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720188;FETAL_periphery_IND4_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720151;FETAL_periphery_IND5.1_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720219;FETAL_periphery_IND5.2_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720208;FETAL_periphery_IND5.3_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720175;FETAL_periphery_IND5_EC;FETAL_periphery;sorted;PENDING;NO
SRR17720168;FETAL_periphery_IND6_EC;FETAL_periphery;sorted;PENDING;NO
SRR28072443;TL_patient10_EC_1;TL;sorted;PENDING;NO
SRR28072444;TL_patient10_EC_1;TL;sorted;PENDING;NO
SRR28072445;TL_patient10_EC_1;TL;sorted;PENDING;NO
SRR28072446;TL_patient10_EC_1;TL;sorted;PENDING;NO
SRR28072439;TL_patient10_EC_2;TL;sorted;PENDING;NO
SRR28072440;TL_patient10_EC_2;TL;sorted;PENDING;NO
SRR28072441;TL_patient10_EC_2;TL;sorted;PENDING;NO
SRR28072442;TL_patient10_EC_2;TL;sorted;PENDING;NO
SRR17720195;TL_patient3_EC;TL;sorted;PENDING;NO
SRR17720193;TL_patient4_EC;TL;sorted;PENDING;NO
SRR17720192;TL_patient5_EC;TL;sorted;PENDING;NO
SRR17720191;TL_patient6_EC;TL;sorted;PENDING;NO
SRR28072467;TL_patient7_EC;TL;sorted;PENDING;NO
SRR28072474;TL_patient9_EC_1;TL;sorted;PENDING;NO
SRR28072475;TL_patient9_EC_1;TL;sorted;PENDING;NO
SRR28072476;TL_patient9_EC_1;TL;sorted;PENDING;NO
SRR28072477;TL_patient9_EC_1;TL;sorted;PENDING;NO
SRR28072468;TL_patient9_EC_2;TL;sorted;PENDING;NO
SRR28072469;TL_patient9_EC_2;TL;sorted;PENDING;NO
SRR28072478;TL_patient9_EC_2;TL;sorted;PENDING;NO
SRR28072479;TL_patient9_EC_2;TL;sorted;PENDING;NO
SRR17720211;TL_patient10_all cells;TL;unsorted;PENDING;NO
SRR28072435;TL_patient10_all cells_1;TL;unsorted;PENDING;NO
SRR28072436;TL_patient10_all cells_1;TL;unsorted;PENDING;NO
SRR28072437;TL_patient10_all cells_1;TL;unsorted;PENDING;NO
SRR28072438;TL_patient10_all cells_1;TL;unsorted;PENDING;NO
SRR28072431;TL_patient10_all cells_2;TL;unsorted;PENDING;NO
SRR28072432;TL_patient10_all cells_2;TL;unsorted;PENDING;NO
SRR28072433;TL_patient10_all cells_2;TL;unsorted;PENDING;NO
SRR28072434;TL_patient10_all cells_2;TL;unsorted;PENDING;NO
SRR17720216;TL_patient5_all cells;TL;unsorted;PENDING;NO
SRR17720214;TL_patient7_all cells;TL;unsorted;PENDING;NO
SRR17720213;TL_patient8_all cells;TL;unsorted;PENDING;NO
